<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.ETH-USD,60,20200811,050000,395.5900000,397.7800000,395.2300000,397.3800000,6618
GDAX.ETH-USD,60,20200811,060000,397.3800000,398.3000000,396.3300000,396.3600000,6270
GDAX.ETH-USD,60,20200811,070000,396.3500000,397.3300000,393.1000000,394.4600000,6611
GDAX.ETH-USD,60,20200811,080000,394.4600000,396.5500000,393.5100000,394.9300000,3414
GDAX.ETH-USD,60,20200811,090000,394.9300000,395.8600000,393.0500000,395.4000000,1790
GDAX.ETH-USD,60,20200811,100000,395.4000000,395.4000000,390.7000000,391.9900000,5993
GDAX.ETH-USD,60,20200811,110000,391.9900000,393.0900000,388.7000000,391.2300000,5708
GDAX.ETH-USD,60,20200811,120000,391.2200000,392.2800000,389.0000000,389.3500000,3266
GDAX.ETH-USD,60,20200811,130000,389.4900000,392.6700000,388.9300000,389.8100000,5649
GDAX.ETH-USD,60,20200811,140000,389.7600000,391.7700000,388.0000000,391.0100000,4535
GDAX.ETH-USD,60,20200811,150000,391.0100000,392.7700000,390.5200000,391.7600000,2393
GDAX.ETH-USD,60,20200811,160000,391.7500000,391.7500000,386.7600000,387.2000000,5823
GDAX.ETH-USD,60,20200811,170000,387.2000000,389.6500000,383.0000000,389.1800000,15989
GDAX.ETH-USD,60,20200811,180000,389.1800000,389.5000000,384.0000000,385.8700000,9876
GDAX.ETH-USD,60,20200811,190000,385.8600000,386.2400000,376.8200000,382.2100000,20657
GDAX.ETH-USD,60,20200811,200000,382.2100000,385.1000000,376.0700000,384.9100000,13880
GDAX.ETH-USD,60,20200811,210000,384.8400000,386.5300000,382.0000000,385.8500000,10259
GDAX.ETH-USD,60,20200811,220000,385.8300000,385.8300000,380.9300000,381.9000000,6392
GDAX.ETH-USD,60,20200811,230000,381.9000000,381.9000000,378.5600000,380.5000000,7960
GDAX.ETH-USD,60,20200812,000000,380.5000000,380.5000000,364.7700000,373.1000000,53853
